Datetime,ABB,ACC,AUBANK,ABBOTINDIA,ADANIENT,ADANIGREEN,ADANIPORTS,ADANIPOWER,ATGL,ADANITRANS,AWL,ABCAPITAL,ABFRL,ALKEM,AMBUJACEM,APOLLOHOSP,APOLLOTYRE,ASHOKLEY,ASIANPAINT,ASTRAL,AUROPHARMA,DMART,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BAJAJHLDNG,BALKRISIND,BANDHANBNK,BANKBARODA,BANKINDIA,BATAINDIA,BERGEPAINT,BEL,BHARATFORG,BHEL,BPCL,BHARTIARTL,BIOCON,BOSCHLTD,BRITANNIA,CGPOWER,CANBK,CHOLAFIN,CIPLA,COALINDIA,COFORGE,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DLF,DABUR,DALBHARAT,DEEPAKNTR,DELHIVERY,DEVYANI,DIVISLAB,DIXON,LALPATHLAB,DRREDDY,EICHERMOT,ESCORTS,NYKAA,FEDERALBNK,FORTIS,GAIL,GLAND,GODREJCP,GODREJPROP,GRASIM,FLUOROCHEM,GUJGASLTD,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HAVELLS,HEROMOTOCO,HINDALCO,HAL,HINDPETRO,HINDUNILVR,HINDZINC,HONAUT,HDFC,ICICIBANK,ICICIGI,ICICIPRULI,IDFCFIRSTB,ITC,INDIANB,INDHOTEL,IOC,IRCTC,IRFC,IGL,INDUSTOWER,INDUSINDBK,NAUKRI,INFY,INDIGO,IPCALAB,JSWENERGY,JSWSTEEL,JINDALSTEL,JUBLFOOD,KOTAKBANK,L&TFH,LTTS,LICHSGFIN,LTIM,LT,LAURUSLABS,LICI,LUPIN,MRF,M&MFIN,M&M,MARICO,MARUTI,MFSL,MAXHEALTH,MSUMI,MPHASIS,MUTHOOTFIN,NHPC,NMDC,NTPC,NAVINFLUOR,NESTLEIND,OBEROIRLTY,ONGC,OIL,PAYTM,OFSS,POLICYBZR,PIIND,PAGEIND,PATANJALI,PERSISTENT,PETRONET,PIDILITIND,PEL,POLYCAB,POONAWALLA,PFC,POWERGRID,PRESTIGE,PGHH,PNB,RECLTD,RELIANCE,SBICARD,SBILIFE,SRF,MOTHERSON,SHREECEM,SHRIRAMFIN,SIEMENS,SONACOMS,SBIN,SAIL,SUNPHARMA,SUNTV,SYNGENE,TVSMOTOR,TATACHEM,TATACOMM,TCS,TATACONSUM,TATAELXSI,TATAMOTORS,TATAPOWER,TATASTEEL,TTML,TECHM,RAMCOCEM,TITAN,TORNTPHARM,TORNTPOWER,TRENT,TRIDENT,TIINDIA,UPL,ULTRACEMCO,UNIONBANK,UBL,MCDOWELL-N,VBL,VEDL,IDEA,VOLTAS,WHIRLPOOL,WIPRO,YESBANK,ZEEL,ZOMATO,ZYDUSLIFE
2019-01-01 00:00:00+05:30,1320.4,1487.95,311.65,7576.0,157.2,41.35,388.8,50.7,101.85,200.65,,100.15,196.5,1938.3,222.65,1263.35,234.45,102.55,1371.85,512.05,731.7,1594.2,627.5,2724.6,2656.2,651.25,2956.25,928.9,556.7,123.3,106.35,1127.35,332.4,29.25,510.95,73.7,367.35,313.65,312.7,19556.3,3087.15,45.85,281.6,251.3,523.0,241.1,1151.55,1325.2,548.68,450.5,234.35,850.7,180.55,422.55,1070.1,223.85,,,1478.55,409.7,925.55,2610.8,2318.4,719.45,,93.0,139.85,120.75,,808.1,661.6,832.75,,133.75,481.0,1516.55,1073.7,385.65,694.8,3128.7,222.8,798.1,256.35,1803.1,277.95,21943.8,2009.6,363.65,871.8,325.85,43.3,282.85,251.5,141.9,91.75,,,271.65,262.4,1594.35,1440.4,665.05,1166.35,407.65,69.8,303.55,162.6,250.5,1251.35,142.45,1721.75,486.4,1720.15,1441.75,76.8,,842.3,66785.8,287.85,773.6,373.3,7477.6,444.15,,,1004.0,513.2,26.0,95.75,123.58,690.25,11061.9,455.0,148.95,175.7,,3726.9,,866.9,24803.3,8.59,625.05,229.05,1101.05,2394.6,,111.0,107.4,149.95,236.4,9890.75,79.75,90.4,1110.8,,598.95,398.0,110.4,16992.75,1197.6,1064.9,,299.35,55.65,433.1,606.9,278.2,565.2,705.05,521.95,1902.35,219.1,1026.7,173.6,76.85,51.55,4.03,719.65,642.15,927.6,887.05,259.6,360.8,6.8,349.6,501.9,4011.1,88.4,1362.15,621.0,120.6,202.15,22.8,554.55,1406.3,246.35,184.25,479.8,,349.7
2019-01-02 00:00:00+05:30,1316.0,1483.15,309.75,7532.5,154.75,41.1,380.95,50.65,100.5,199.8,,99.45,192.9,1954.35,219.1,1261.25,230.4,100.05,1381.55,515.6,722.3,1562.55,618.9,2689.4,2616.5,639.05,2950.0,912.25,551.6,119.4,104.75,1113.2,327.25,29.9,495.1,72.85,358.35,307.05,311.35,19465.75,3115.85,44.45,275.4,246.65,515.65,237.0,1152.3,1303.65,535.88,448.55,231.45,844.6,172.9,416.0,1070.25,220.6,,,1471.2,403.8,916.65,2600.6,2116.4,707.2,,94.85,140.3,117.15,,807.65,668.75,816.05,,134.0,472.9,1504.7,1062.95,390.5,690.8,3046.05,214.4,800.3,256.25,1784.0,273.5,21732.65,1979.0,364.35,871.9,319.55,42.7,280.5,245.7,139.9,91.45,,,274.45,263.3,1577.4,1435.0,669.05,1162.15,400.95,70.3,288.7,158.05,247.85,1240.9,140.15,1703.75,475.7,1726.5,1426.4,75.95,,832.6,66577.35,284.0,741.5,372.85,7272.45,428.65,,,988.45,502.7,25.7,96.9,122.17,699.1,11041.05,450.15,147.6,172.95,,3705.1,,859.6,24668.95,8.17,624.65,228.15,1107.35,2340.8,,106.9,104.05,146.55,231.85,9867.8,77.85,89.3,1095.9,,599.35,398.55,109.1,16934.45,1166.0,1056.6,,293.85,54.1,440.3,604.3,276.85,535.0,701.05,521.35,1923.15,214.8,1025.1,168.55,74.85,49.4,3.98,711.85,637.05,931.7,885.15,255.9,352.9,6.75,353.05,503.45,3999.8,88.35,1356.65,619.75,117.55,193.1,22.25,538.0,1396.65,244.44,184.65,469.1,,346.5
2019-01-03 00:00:00+05:30,1312.35,1452.6,313.2,7502.35,152.55,41.0,378.45,50.4,100.7,200.55,,98.6,195.0,1959.05,214.0,1261.85,228.05,98.1,1385.15,516.8,715.9,1573.55,607.95,2700.4,2587.95,638.15,2966.8,901.4,534.45,119.4,105.75,1111.25,325.35,29.5,488.4,70.9,352.9,307.4,306.2,19253.85,3140.2,43.25,276.3,240.15,512.9,235.0,1134.2,1315.55,535.56,450.85,228.4,832.6,172.6,421.9,1055.25,219.0,,,1437.0,405.45,910.25,2575.55,2025.35,720.8,,92.0,140.55,116.75,,813.75,675.85,801.05,,133.5,473.95,1518.55,1056.1,390.75,680.95,3012.25,209.1,792.65,248.0,1787.35,269.1,21730.95,1935.8,363.25,867.55,316.1,42.95,278.9,245.3,139.75,88.35,,,273.6,271.05,1559.05,1496.5,669.15,1156.65,393.65,69.9,282.9,146.9,247.7,1237.35,135.35,1621.9,470.15,1735.0,1393.95,75.7,,820.05,66743.75,279.65,718.95,377.95,7203.9,424.35,,,948.1,496.25,25.6,94.0,119.5,700.8,11191.1,446.85,143.2,171.8,,3607.25,,859.85,23591.75,7.77,611.9,228.4,1109.2,2288.1,,108.5,105.65,145.0,232.8,9854.45,77.8,90.8,1081.5,,598.65,395.65,107.55,16932.6,1128.45,1044.75,,291.05,52.35,435.35,585.8,274.05,538.6,695.9,534.75,1896.45,210.35,1030.4,166.2,74.15,48.1,3.98,691.05,627.25,928.7,902.35,260.45,349.7,6.7,359.45,497.65,3894.8,88.85,1366.75,620.1,119.05,188.0,21.75,536.15,1396.5,244.66,183.9,462.65,,343.2
2019-01-04 00:00:00+05:30,1305.0,1471.65,311.35,7522.25,152.35,40.75,381.5,49.95,100.6,199.3,,98.2,195.2,1946.9,216.05,1291.15,233.05,96.8,1385.3,531.55,725.4,1575.75,619.85,2734.65,2579.25,641.35,2954.05,889.65,528.65,121.55,108.75,1116.1,323.05,30.6,488.1,71.35,360.15,316.65,309.15,19445.2,3121.6,44.3,282.9,241.75,513.4,235.7,1122.65,1311.75,542.44,468.8,226.05,831.5,175.15,419.75,1079.35,220.9,,,1458.7,409.8,938.7,2601.65,2012.9,724.15,,94.75,140.4,117.8,,805.25,679.15,806.3,,132.25,466.65,1521.1,1058.85,392.5,680.2,2992.55,210.9,813.3,248.9,1780.25,271.45,21616.95,1971.15,365.55,866.9,324.1,45.15,280.75,250.05,139.25,89.05,,,277.85,284.0,1547.95,1554.15,661.05,1140.45,393.5,68.95,288.1,152.25,242.85,1246.7,134.2,1618.95,488.05,1696.8,1389.3,76.7,,828.8,66558.6,283.1,726.15,378.45,7237.4,441.5,,,930.1,502.65,25.55,94.3,121.38,698.4,10878.3,461.9,145.65,174.0,,3594.45,,849.15,22675.7,8.13,581.2,221.1,1107.4,2352.9,,109.55,106.8,146.65,231.65,9797.2,81.3,91.0,1088.75,,602.35,399.1,106.0,16711.7,1134.55,1064.55,,297.5,53.15,432.8,592.7,272.0,540.55,698.2,532.8,1873.95,214.0,1003.7,170.75,75.15,48.75,4.01,681.25,627.1,928.55,906.75,261.2,349.3,6.65,350.15,504.55,3911.6,92.2,1372.0,604.6,119.05,193.0,21.9,536.6,1395.8,243.31,189.5,464.8,,344.65
2019-01-07 00:00:00+05:30,1299.85,1477.25,308.1,7565.7,151.0,41.05,381.8,50.35,101.45,200.25,,97.65,204.0,1962.9,218.3,1280.8,230.2,93.45,1394.8,514.05,723.6,1570.0,637.45,2657.4,2552.65,639.45,2948.65,883.8,501.1,122.2,106.3,1124.4,318.2,30.45,480.15,72.25,356.5,318.45,309.95,19496.15,3138.85,44.7,278.05,239.85,513.65,234.3,1140.95,1304.6,542.76,462.9,226.3,841.6,179.55,421.0,,221.25,,,1483.7,400.1,942.55,2556.55,1982.25,727.95,,94.0,139.6,119.05,,800.2,713.95,818.8,,131.5,469.85,1505.4,1060.0,393.1,693.95,2959.35,208.4,790.9,248.95,1784.7,274.3,21610.5,1971.0,367.5,864.2,319.75,46.2,281.75,246.8,140.1,88.95,,,273.65,294.75,1558.25,1620.35,671.7,1114.05,390.65,70.0,289.6,152.05,243.4,1247.55,135.6,1629.05,479.45,1706.4,1383.95,75.35,,820.9,66698.45,284.6,729.6,386.55,7349.0,436.4,,,926.3,511.55,25.95,95.05,123.67,687.45,10779.45,459.5,147.55,175.3,,3590.7,,860.6,21906.7,8.52,570.75,217.15,1102.6,2282.55,,109.6,106.6,148.8,228.45,9801.45,80.5,89.95,1093.1,,601.5,399.45,104.75,16902.0,1145.65,1059.75,,295.7,53.4,430.05,595.6,273.65,535.45,700.1,527.65,1896.65,214.9,979.25,175.25,74.7,48.6,3.93,687.55,628.65,943.5,910.0,264.2,350.8,6.7,348.15,508.15,3930.65,90.6,1387.85,607.6,119.75,193.45,22.1,542.1,1424.45,243.76,186.95,462.45,,348.2
2019-01-08 00:00:00+05:30,1297.0,1476.95,310.35,7725.85,153.4,41.0,378.9,51.5,100.95,205.7,,97.35,205.75,1950.95,218.45,1249.55,228.8,93.1,1401.25,521.75,746.35,1569.4,650.9,2690.75,2535.05,644.75,2942.3,869.55,477.05,123.8,108.85,1129.45,323.5,30.35,471.75,71.35,351.8,322.8,313.8,19293.35,3093.0,46.05,287.8,239.4,513.35,233.95,1126.15,1308.9,544.0,453.35,226.95,845.85,181.5,417.5,,223.35,,,1458.7,402.0,937.35,2570.35,2003.9,731.2,,95.15,139.65,118.25,,781.3,730.0,835.45,,131.5,472.55,1493.35,1051.4,394.8,671.05,2974.8,206.4,787.1,247.85,1770.6,273.85,21833.3,1959.25,380.2,862.05,324.2,46.0,284.2,257.9,137.85,89.35,,,270.35,298.4,1577.6,1622.65,670.05,1109.6,386.85,70.35,293.75,157.6,247.95,1232.25,137.8,1650.05,482.1,1691.7,1381.9,74.95,,841.45,66378.9,282.05,724.55,382.35,7421.35,435.15,,,925.35,515.55,26.0,94.95,122.46,688.15,11016.8,452.2,147.4,176.3,,3592.4,,859.05,22936.85,8.14,570.7,219.95,1105.5,2309.3,,108.85,109.05,148.0,226.25,9927.0,81.5,91.1,1093.6,,612.9,404.95,105.65,16704.65,1159.75,1052.55,,305.1,54.4,447.15,599.45,275.6,533.65,698.6,526.25,1893.05,214.85,973.35,179.35,74.85,49.15,3.91,689.9,630.9,946.05,907.4,262.15,355.3,6.8,337.0,501.5,3914.8,94.45,1411.35,600.3,120.45,195.7,22.4,539.45,1428.1,245.0,192.3,451.55,,348.95
2019-01-09 00:00:00+05:30,1300.8,1455.85,314.15,7990.45,149.3,40.75,377.4,51.0,101.35,207.35,,96.5,207.8,1971.15,212.95,1265.25,224.1,94.4,1402.9,530.6,756.25,1590.5,670.05,2695.65,2525.1,639.35,2951.95,887.5,454.35,123.05,105.5,1148.95,325.6,30.7,476.75,70.3,341.25,328.95,315.15,19432.7,3094.9,45.25,280.55,239.55,510.8,232.95,1161.6,1303.8,546.0,456.5,229.0,860.0,182.0,421.05,,220.8,,,1474.25,419.05,947.85,2603.9,2027.75,738.5,,96.65,138.85,113.9,,774.8,741.05,834.15,,132.25,470.05,1497.4,1058.1,396.45,681.95,2940.45,205.65,783.9,239.35,1783.2,274.85,22016.65,1993.3,382.0,864.0,335.65,46.2,290.7,253.1,137.95,87.85,,,266.45,290.75,1600.8,1627.35,676.1,1104.4,386.9,70.05,290.6,151.8,246.9,1238.9,134.65,1643.65,476.1,1749.8,1385.2,75.3,,836.65,65943.15,280.1,726.1,383.95,7465.85,439.55,,,904.0,515.05,26.05,91.4,121.79,678.3,11252.2,456.35,145.55,176.05,,3602.85,,853.75,23201.2,8.26,565.0,214.35,1099.4,2336.7,,107.45,108.35,147.9,225.3,9953.45,80.7,90.8,1098.0,,642.2,407.05,107.6,16359.75,1177.6,1053.15,,305.05,52.25,447.4,588.65,281.65,538.5,697.5,519.6,1887.8,212.6,969.9,183.1,74.3,47.95,3.97,694.0,622.3,952.5,911.45,261.85,350.15,6.8,335.15,509.9,3820.0,92.1,1386.85,594.15,120.5,194.7,22.3,535.85,1453.25,247.44,186.4,451.9,,347.2
2019-01-10 00:00:00+05:30,1299.7,1448.3,324.95,8092.55,151.1,40.75,379.85,50.5,100.35,215.65,,96.8,208.4,1973.25,212.45,1285.65,227.1,95.0,1397.55,536.6,775.7,1586.8,663.0,2718.75,2515.85,636.85,2976.65,888.2,471.7,123.4,106.1,1163.3,324.25,30.8,482.35,68.85,335.8,331.05,314.75,19666.95,3088.4,45.45,281.05,238.7,513.55,233.05,1153.9,1325.0,551.48,460.85,229.05,854.1,183.35,421.35,,221.85,,,1516.25,414.7,968.35,2599.55,2052.65,743.7,,95.7,140.15,114.75,,779.2,734.8,820.15,,134.0,467.9,1504.2,1054.75,406.6,688.4,2922.65,203.9,778.95,233.65,1785.9,275.1,21905.05,1979.0,379.7,891.0,346.5,46.75,289.55,251.95,137.35,86.45,,,266.35,285.45,1566.45,1579.8,679.7,1097.15,388.5,69.85,289.65,149.95,246.85,1221.35,134.35,1638.95,483.25,1780.4,1390.25,75.0,,838.2,66550.55,279.95,733.3,387.55,7385.95,458.45,,,903.0,523.75,25.6,91.1,123.13,675.25,11416.85,460.5,143.55,174.2,,3644.0,,854.45,23160.15,8.19,564.9,214.2,1114.9,2303.5,,107.5,107.95,147.1,220.65,9951.2,81.2,92.05,1095.25,,635.05,410.15,107.8,16455.15,1156.1,1070.5,,304.65,52.45,443.85,589.95,274.55,539.6,700.3,517.6,1888.15,213.85,969.2,185.55,74.8,48.05,3.95,693.35,629.05,965.5,926.7,260.2,353.9,7.1,324.95,514.75,3819.4,92.75,1378.35,586.55,121.2,195.1,22.4,538.75,1466.1,245.53,186.7,451.95,,349.75
2019-01-11 00:00:00+05:30,1346.65,1458.7,324.7,8087.05,151.4,39.9,377.0,50.2,99.25,220.8,,96.65,205.1,1953.85,212.7,1294.65,226.15,94.25,1402.2,532.6,769.8,1568.95,666.5,2713.8,2511.0,636.95,3002.95,886.35,454.15,120.95,103.1,1154.85,324.8,30.65,481.0,68.6,337.2,327.9,320.45,19514.05,3099.15,44.7,278.1,236.6,511.05,232.3,1162.0,1322.65,542.8,462.9,228.25,841.35,182.05,421.85,,215.3,,,1504.35,411.1,985.75,2589.8,2048.75,753.65,,95.4,139.35,113.05,,779.75,727.75,815.3,,134.0,470.25,1496.65,1056.05,406.75,687.95,2900.35,205.65,774.9,233.65,1768.35,273.85,21803.05,1987.65,378.55,884.75,355.55,46.6,295.4,253.05,135.95,87.3,,,270.6,277.45,1515.4,1590.0,683.5,1056.95,390.45,70.1,289.35,148.75,247.4,1221.25,131.7,1632.35,483.15,1729.9,1370.2,75.55,,837.85,66938.7,276.3,728.7,381.5,7319.8,454.35,,,897.55,536.7,25.5,92.25,122.96,673.8,11265.05,451.75,144.7,174.6,,3643.05,,840.05,23262.25,8.01,546.55,216.1,1108.25,2295.9,,107.7,107.65,145.7,217.2,10011.95,80.7,93.2,1087.6,,637.3,409.35,107.3,15885.25,1159.6,1057.75,,302.55,52.2,443.2,589.15,271.75,539.95,697.8,516.95,1841.95,212.2,961.65,180.3,75.0,47.45,3.87,698.35,629.5,957.55,940.45,257.5,356.9,7.1,328.45,522.4,3768.1,93.6,1376.9,591.6,120.15,196.55,22.25,541.2,1483.1,246.69,183.95,451.1,,349.2
2019-01-14 00:00:00+05:30,1304.55,1461.5,325.6,8030.25,148.3,39.8,374.25,49.5,97.85,222.9,,96.25,212.05,1930.45,214.65,1324.2,223.35,93.45,1388.4,510.65,770.35,1395.75,659.4,2700.15,2540.75,635.6,3001.45,881.6,442.85,121.1,103.8,1161.6,324.05,30.45,476.3,67.75,334.6,325.8,322.2,19121.65,3111.9,43.7,277.5,237.9,512.25,230.7,1187.2,1305.15,546.48,454.9,226.8,854.5,181.6,433.45,,217.6,,,1528.15,408.55,967.95,2582.05,2049.05,751.05,,90.6,139.4,108.25,,778.15,738.9,813.55,,133.75,468.75,1482.3,1050.4,392.55,688.45,2867.3,205.85,772.75,233.45,1763.5,272.0,21597.25,1969.3,373.4,866.05,350.1,46.65,294.3,252.7,135.0,88.1,,,271.0,280.6,1484.05,1634.1,701.9,1081.6,391.25,69.05,284.15,144.0,242.9,1210.45,126.75,1651.85,478.25,1728.85,1334.0,74.9,,834.95,66342.0,267.3,724.5,382.5,7402.55,446.85,,,876.5,531.95,25.4,92.2,121.04,674.3,11224.65,441.95,143.5,172.9,,3616.5,,841.2,23784.85,8.13,551.85,216.9,1134.0,2273.3,,106.35,106.8,144.35,209.75,9986.35,82.05,93.4,1086.15,,621.75,404.6,107.65,15488.55,1137.55,1054.9,,300.5,50.6,450.65,579.5,270.45,535.55,694.7,513.35,1814.4,213.1,969.85,182.3,74.15,47.05,3.87,680.25,626.4,957.25,941.5,259.75,357.05,7.0,326.95,512.5,3777.4,93.9,1378.7,596.85,121.0,193.05,21.7,540.4,1472.1,235.6,195.4,448.3,,354.05
