Symbol,Instrument
ABB,128000516
ACC,128104964
AUBANK,138396420
ABBOTINDIA,128124932
ADANIENT,131225348
ADANIGREEN,138611204
ADANIPORTS,136427780
ADANIPOWER,136472580
ATGL,138768900
ADANITRANS,138049028
AWL,139125252
ABCAPITAL,138416900
ABFRL,137153284
ALKEM,138117892
AMBUJACEM,128108804
APOLLOHOSP,130270468
APOLLOTYRE,128224516
ASHOKLEY,128122116
ASIANPAINT,128209924
ASTRAL,136404484
AUROPHARMA,134349828
DMART,138336260
AXISBANK,136247044
BAJAJ-AUTO,136442116
BAJFINANCE,128008708
BAJAJFINSV,136442372
BAJAJHLDNG,128125444
BALKRISIND,128602884
BANDHANBNK,138535172
BANKBARODA,136226308
BANKINDIA,136230148
BATAINDIA,128011012
BERGEPAINT,130426884
BEL,128012548
BHARATFORG,128126212
BHEL,128026372
BPCL,128140036
BHARTIARTL,136308228
BIOCON,136325892
BOSCHLTD,128135684
BRITANNIA,128211204
CGPOWER,128023812
CANBK,136315652
CHOLAFIN,130878212
CIPLA,128022276
COALINDIA,136519172
COFORGE,136330500
COLPAL,128212484
CONCOR,136024068
COROMANDEL,129637124
CROMPTON,138208260
CUMMINSIND,128122884
DLF,136414212
DABUR,128024580
DALBHARAT,138807300
DEEPAKNTR,5105409
DELHIVERY,139143428
DEVYANI,139092484
DIVISLAB,136316932
DIXON,138418948
LALPATHLAB,138118148
DRREDDY,128031748
EICHERMOT,129331204
ESCORTS,128126724
NYKAA,139106308
FEDERALBNK,128120068
FORTIS,136407812
GAIL,136231684
GLAND,139070724
GODREJCP,136300548
GODREJPROP,136486404
GRASIM,128076804
FLUOROCHEM,138959876
GUJGASLTD,2713345
HCLTECH,136263940
HDFCAMC,138682628
HDFCBANK,128046084
HDFCLIFE,138438916
HAVELLS,132442628
HEROMOTOCO,128046596
HINDALCO,128112644
HAL,138535428
HINDPETRO,128026628
HINDUNILVR,128178180
HINDZINC,128048132
HONAUT,132396548
HDFC,128002564
ICICIBANK,136236548
ICICIGI,138423300
ICICIPRULI,138274052
IDFCFIRSTB,138095876
ITC,128224004
INDIANB,136400388
INDHOTEL,128217604
IOC,135927044
IRCTC,138964484
IRFC,139073796
IGL,136323588
INDUSTOWER,136912900
INDUSINDBK,136239876
NAUKRI,136390916
INFY,128053508
INDIGO,138098692
IPCALAB,134270468
JSWENERGY,136485892
JSWSTEEL,128058372
JINDALSTEL,136265220
JUBLFOOD,136487684
KOTAKBANK,128063236
L&TFH,136580868
LTTS,138269444
LICHSGFIN,128064772
LTIM,138241284
LT,128130564
LAURUSLABS,138296836
LICI,139142660
LUPIN,128065796
MRF,128074244
M&MFIN,136376324
M&M,128133124
MARICO,136100356
MARUTI,136320004
MFSL,128069380
MAXHEALTH,139064324
MSUMI,139135492
MPHASIS,134732548
MUTHOOTFIN,136549892
NHPC,136473092
NMDC,134750980
NTPC,136334084
NAVINFLUOR,136321028
NESTLEIND,128202244
OBEROIRLTY,136517892
ONGC,128079876
OIL,136475140
PAYTM,139109380
OFSS,136311300
POLICYBZR,139107844
PIIND,134052356
PAGEIND,136403716
PATANJALI,128094212
PERSISTENT,136493828
PETRONET,136325636
PIDILITIND,128084740
PEL,128077316
POLYCAB,138918916
POONAWALLA,134144004
PFC,136399364
POWERGRID,136421892
PRESTIGE,136518148
PGHH,128117508
PNB,136310020
RECLTD,136436484
RELIANCE,128083204
SBICARD,139024900
SBILIFE,138424068
SRF,128974340
MOTHERSON,132437508
SHREECEM,128099076
SHRIRAMFIN,130871812
SIEMENS,128140804
SONACOMS,139084804
SBIN,128028676
SAIL,128028932
SUNPHARMA,134327044
SUNTV,136379652
SYNGENE,138052612
TVSMOTOR,136279812
TATACHEM,128197124
TATACOMM,128123652
TCS,136330244
TATACONSUM,128204804
TATAELXSI,128104452
TATAMOTORS,128145924
TATAPOWER,128102404
TATASTEEL,128120324
TTML,136286980
TECHM,136385284
RAMCOCEM,128066564
TITAN,128029188
TORNTPHARM,128107524
TORNTPOWER,136391428
TRENT,128064260
TRIDENT,133392388
TIINDIA,138435076
UPL,131089924
ULTRACEMCO,136329732
UNIONBANK,136314116
UBL,136314372
MCDOWELL-N,2674433
VBL,138286084
VEDL,128075524
IDEA,136402436
VOLTAS,128147204
WHIRLPOOL,128060932
WIPRO,129967364
YESBANK,136357892
ZEEL,129417476
ZOMATO,139089924
ZYDUSLIFE,136274180
